"SS"	"Pos10wrtsRNAStart"	"DistTerm"	"Distance"	"sameStrand"	"DownDistance"	"sameDownStrand"
"S_enterica_LT2_RAND_18"	-23.7	-54	776	0	1	0	1
"S_enterica_LT2_RAND_19"	-24.7	108	1000	0	0	0	0
"S_enterica_LT2_RAND_20"	-52.7	142	649	0	0	0	0
"S_enterica_LT2_RAND_21"	-55	187	0	-48	1	0	1
"S_enterica_LT2_RAND_22"	-18.7	38	1000	-58	0	0	1
"S_enterica_LT2_RAND_23"	-23.8	14	1000	0	1	0	1
"S_enterica_LT2_RAND_25"	-73.76	139	1000	0	0	0	0
"S_enterica_LT2_RAND_26"	-47.2	-45	131	0	1	0	1
"S_enterica_LT2_RAND_28"	-44	80	1000	0	1	0	1
"S_enterica_LT2_RAND_29"	-31.2	6	1000	0	1	0	1
"S_enterica_LT2_RAND_30"	-36.5	-106	1000	0	1	0	1
"S_enterica_LT2_RAND_31"	-146.6	-103	1000	0	1	0	1
"S_enterica_LT2_RAND_32"	-21.6	-14	0	0	1	0	1
"S_enterica_LT2_RAND_33"	-24.5	-75	1000	0	1	0	1
"S_enterica_LT2_RAND_34"	-7.9	81	1000	0	0	0	0
"S_enterica_LT2_RAND_35"	-208.6	624	71	0	1	0	1
"S_enterica_LT2_RAND_36"	-43.1	196	1000	0	1	248	0
"S_enterica_LT2_RAND_37"	-5.4	32	265	0	1	0	1
"S_enterica_LT2_RAND_38"	-17.4	-20	1000	0	0	0	0
"S_enterica_LT2_RAND_39"	-35.1	83	1000	0	0	0	0
"S_enterica_LT2_RAND_40"	-26	-9	1000	0	1	0	1
"S_enterica_LT2_RAND_41"	-12.92	64	1000	-237	0	140	1
"S_enterica_LT2_RAND_42"	-7.6	-1000	1000	-6	0	0	0
"S_enterica_LT2_RAND_43"	-28	-72	1000	0	1	0	1
"S_enterica_LT2_RAND_44"	-73	25	0	0	1	27	1
"S_enterica_LT2_RAND_45"	-28.3	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_46"	-48.7	-104	397	-348	1	654	1
"S_enterica_LT2_RAND_48"	-11.4	24	1000	0	0	0	0
"S_enterica_LT2_RAND_49"	-18.8	69	41	-97	0	0	0
"S_enterica_LT2_RAND_52"	-11.42	-47	1000	0	1	0	1
"S_enterica_LT2_RAND_53"	-42	56	1000	0	1	0	1
"S_enterica_LT2_RAND_54"	-31.8	-33	1000	0	1	0	1
"S_enterica_LT2_RAND_55"	-6.8	-4	240	0	1	0	1
"S_enterica_LT2_RAND_56"	-25.2	7	1000	0	0	0	0
"S_enterica_LT2_RAND_58"	-40.3	84	1000	0	0	0	0
"S_enterica_LT2_RAND_59"	-40	117	305	0	1	0	0
"S_enterica_LT2_RAND_60"	-17.7	-26	16	-530	1	0	1
"S_enterica_LT2_RAND_61"	-14.1	-56	1000	0	1	0	1
"S_enterica_LT2_RAND_62"	-27.7	13	1000	-2	0	52	0
"S_enterica_LT2_RAND_63"	-14.2	5	1000	-95	0	0	0
"S_enterica_LT2_RAND_64"	-5.1	15	1000	0	0	0	0
"S_enterica_LT2_RAND_65"	-32.47	248	662	0	0	14	1
"S_enterica_LT2_RAND_66"	-136.52	385	1000	0	0	0	0
"S_enterica_LT2_RAND_67"	-31.1	-40	1000	-177	0	0	0
"S_enterica_LT2_RAND_69"	-53.6	20	1000	0	1	0	1
"S_enterica_LT2_RAND_70"	-161.4	29	398	-3	1	0	1
"S_enterica_LT2_RAND_71"	-27.6	-11	0	-580	0	0	0
"S_enterica_LT2_RAND_72"	-237.4	209	1000	0	0	0	1
"S_enterica_LT2_RAND_73"	-100.1	25	1000	0	1	0	1
"S_enterica_LT2_RAND_74"	-61.3	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_75"	-29.1	-74	0	0	1	59	1
"S_enterica_LT2_RAND_76"	-152.7	197	71	0	1	0	1
"S_enterica_LT2_RAND_78"	-30	80	447	0	1	0	1
"S_enterica_LT2_RAND_79"	-176.13	749	1000	-345	0	0	1
"S_enterica_LT2_RAND_80"	-8.7	-44	1000	-440	0	0	1
"S_enterica_LT2_RAND_81"	-1.2	-57	1000	0	1	0	1
"S_enterica_LT2_RAND_82"	-52	-82	865	0	0	0	0
"S_enterica_LT2_RAND_83"	-63.81	-22	1000	0	1	8	0
"S_enterica_LT2_RAND_84"	-9.5	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_85"	-9.6	48	1000	0	1	0	1
"S_enterica_LT2_RAND_86"	-9.4	-1000	246	0	0	0	1
"S_enterica_LT2_RAND_87"	-75.4	-28	185	0	1	0	1
"S_enterica_LT2_RAND_88"	-4.4	-33	76	-225	0	0	0
"S_enterica_LT2_RAND_89"	-18.1	-1	332	0	0	0	0
"S_enterica_LT2_RAND_90"	-51.3	119	1000	0	1	0	1
"S_enterica_LT2_RAND_91"	-39.24	152	1000	0	1	0	1
"S_enterica_LT2_RAND_92"	-32.8	52	1000	0	1	133	1
"S_enterica_LT2_RAND_93"	-49	43	1000	0	1	0	1
"S_enterica_LT2_RAND_94"	-33.6	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_95"	-20.3	-57	1000	0	1	0	1
"S_enterica_LT2_RAND_96"	-0.4	-33	1000	0	0	0	0
"S_enterica_LT2_RAND_97"	-14.9	-8	1000	0	0	0	0
"S_enterica_LT2_RAND_98"	-67	110	334	0	1	352	0
"S_enterica_LT2_RAND_99"	-144.04	340	1000	0	1	0	1
"S_enterica_LT2_RAND_100"	-20.7	-58	1000	0	1	0	1
"S_enterica_LT2_RAND_101"	-14.2	25	1000	0	0	238	0
"S_enterica_LT2_RAND_102"	-37.1	45	0	-8	0	0	1
"S_enterica_LT2_RAND_103"	-22.2	-77	1000	0	1	0	1
"S_enterica_LT2_RAND_104"	-135.9	243	1000	0	1	0	1
"S_enterica_LT2_RAND_105"	-222.8	12	0	0	0	0	1
"S_enterica_LT2_RAND_106"	-27.3	-74	553	0	0	0	0
"S_enterica_LT2_RAND_107"	-40.9	60	0	0	0	0	1
"S_enterica_LT2_RAND_108"	-108.4	302	1000	0	1	0	1
"S_enterica_LT2_RAND_109"	-25.4	-35	1000	0	0	0	0
"S_enterica_LT2_RAND_110"	-38.4	-52	1000	0	1	0	1
"S_enterica_LT2_RAND_111"	-7.6	49	1000	0	0	0	0
"S_enterica_LT2_RAND_112"	-34.1	58	1000	0	1	0	1
"S_enterica_LT2_RAND_113"	-9.8	-45	1000	0	1	0	1
"S_enterica_LT2_RAND_114"	-48	15	1000	0	1	0	1
"S_enterica_LT2_RAND_115"	-66.6	17	1000	0	0	0	0
"S_enterica_LT2_RAND_116"	-26	-62	1000	0	0	0	0
"S_enterica_LT2_RAND_117"	-35	-93	1000	0	0	0	0
"S_enterica_LT2_RAND_118"	-92.2	112	1000	0	0	0	0
"S_enterica_LT2_RAND_119"	-24.5	103	1000	-403	1	379	0
"S_enterica_LT2_RAND_120"	-70.4	-97	613	-766	1	0	0
"S_enterica_LT2_RAND_121"	-13.8	-52	1000	0	1	0	1
"S_enterica_LT2_RAND_122"	-32.7	-71	1000	0	0	0	0
"S_enterica_LT2_RAND_123"	-35.2	74	1000	0	1	0	1
"S_enterica_LT2_RAND_125"	-26.6	-100	765	-41	1	0	1
"S_enterica_LT2_RAND_126"	-28.2	-77	157	0	0	0	0
"S_enterica_LT2_RAND_127"	-78.3	-72	823	0	1	0	1
"S_enterica_LT2_RAND_128"	-76.68	178	1000	0	1	0	1
"S_enterica_LT2_RAND_129"	-34.9	-15	1000	0	0	0	0
"S_enterica_LT2_RAND_130"	-26.7	-100	1000	0	0	130	1
"S_enterica_LT2_RAND_131"	-16.1	-14	1000	-176	0	0	1
"S_enterica_LT2_RAND_132"	-67	-95	810	0	0	0	0
"S_enterica_LT2_RAND_133"	-28.5	-71	1000	0	0	0	0
"S_enterica_LT2_RAND_134"	-34.3	-80	576	0	1	0	1
"S_enterica_LT2_RAND_135"	-36.82	95	1000	0	1	0	1
"S_enterica_LT2_RAND_136"	-4.8	-73	1000	0	1	0	1
"S_enterica_LT2_RAND_137"	-90.1	295	1000	0	0	0	0
"S_enterica_LT2_RAND_138"	-71.9	131	611	0	1	0	1
"S_enterica_LT2_RAND_139"	-42.4	-45	1000	0	0	12	0
"S_enterica_LT2_RAND_140"	-59.4	234	1000	0	1	0	1
"S_enterica_LT2_RAND_141"	-31.55	-52	1000	0	0	0	0
"S_enterica_LT2_RAND_142"	-16.4	-76	1000	0	1	0	1
"S_enterica_LT2_RAND_143"	-73.21	52	867	0	1	0	1
"S_enterica_LT2_RAND_144"	-28.97	78	1000	0	1	0	1
"S_enterica_LT2_RAND_145"	-18.2	-59	1000	0	0	0	0
"S_enterica_LT2_RAND_147"	-16.5	-42	0	0	1	39	0
"S_enterica_LT2_RAND_149"	-24.4	-8	1000	0	0	0	0
"S_enterica_LT2_RAND_150"	-23.6	27	964	0	0	183	1
"S_enterica_LT2_RAND_151"	-1.3	17	1000	-44	1	143	0
"S_enterica_LT2_RAND_152"	-42.1	-91	651	-180	0	0	1
"S_enterica_LT2_RAND_153"	-46.2	-66	1000	0	0	0	0
"S_enterica_LT2_RAND_155"	-78.8	1	1000	0	1	0	1
"S_enterica_LT2_RAND_156"	-8.9	-10	822	0	1	0	1
"S_enterica_LT2_RAND_157"	-1.65	103	1000	0	0	0	0
"S_enterica_LT2_RAND_158"	-33.1	144	850	0	1	0	1
"S_enterica_LT2_RAND_159"	-7.1	-56	787	0	1	0	1
"S_enterica_LT2_RAND_161"	-42	25	1000	0	0	0	0
"S_enterica_LT2_RAND_163"	-14	103	1000	-269	1	0	1
"S_enterica_LT2_RAND_164"	-17.8	-30	1000	0	0	0	0
"S_enterica_LT2_RAND_165"	-55.07	14	1000	0	1	0	1
"S_enterica_LT2_RAND_166"	-14.74	-17	1000	0	0	0	0
"S_enterica_LT2_RAND_167"	-57.7	213	1000	0	1	0	1
"S_enterica_LT2_RAND_168"	-12.1	-40	1000	0	0	0	0
"S_enterica_LT2_RAND_170"	-102	176	684	0	1	0	1
"S_enterica_LT2_RAND_171"	-106.2	283	1000	0	1	0	1
"S_enterica_LT2_RAND_172"	-51.2	36	1000	0	0	0	0
"S_enterica_LT2_RAND_173"	-11.6	-41	1000	0	0	0	0
"S_enterica_LT2_RAND_174"	-17.7	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_175"	-33.8	-52	1000	0	1	0	1
"S_enterica_LT2_RAND_176"	0	28	0	-30	1	0	1
"S_enterica_LT2_RAND_177"	-5.4	71	1000	0	0	0	0
"S_enterica_LT2_RAND_178"	-39.48	164	1000	0	1	0	1
"S_enterica_LT2_RAND_179"	-16.6	25	1000	0	0	0	0
"S_enterica_LT2_RAND_180"	-8.2	25	1000	0	1	0	1
"S_enterica_LT2_RAND_181"	-13.2	5	1000	-21	0	0	0
"S_enterica_LT2_RAND_182"	-18.2	-88	1000	0	1	0	1
"S_enterica_LT2_RAND_183"	-12.5	38	1000	0	1	0	1
"S_enterica_LT2_RAND_184"	-32	83	1000	0	1	0	1
"S_enterica_LT2_RAND_185"	-47.7	152	1000	0	1	0	1
"S_enterica_LT2_RAND_186"	-39.2	25	1000	0	1	0	1
"S_enterica_LT2_RAND_187"	-26.14	-22	1000	0	0	0	0
"S_enterica_LT2_RAND_188"	-61.1	343	1000	0	0	0	0
"S_enterica_LT2_RAND_189"	-34	110	1000	0	0	0	0
"S_enterica_LT2_RAND_190"	-5.6	-74	1000	0	1	0	1
"S_enterica_LT2_RAND_192"	-33.3	-99	460	0	0	82	1
"S_enterica_LT2_RAND_194"	-12.1	30	411	0	0	0	0
"S_enterica_LT2_RAND_195"	-28.5	4	1000	0	0	0	0
"S_enterica_LT2_RAND_196"	-29.8	25	1000	0	0	62	1
"S_enterica_LT2_RAND_197"	-66.67	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_198"	-4	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_199"	-93.4	-58	1000	0	0	0	0
"S_enterica_LT2_RAND_200"	-21	41	1000	0	0	0	0
"S_enterica_LT2_RAND_201"	-42.64	70	1000	-182	1	68	1
"S_enterica_LT2_RAND_202"	-23.9	-1	1000	0	0	0	0
"S_enterica_LT2_RAND_203"	-21.5	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_205"	-161.21	315	1000	0	0	0	0
"S_enterica_LT2_RAND_206"	-4.7	-1000	1000	-611	0	50	0
"S_enterica_LT2_RAND_207"	-10.4	-19	1000	0	1	0	1
"S_enterica_LT2_RAND_208"	-63.5	155	1000	0	1	0	1
"S_enterica_LT2_RAND_209"	-6.3	27	1000	0	0	0	0
"S_enterica_LT2_RAND_210"	-5.6	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_211"	-22.2	67	1000	0	0	0	0
"S_enterica_LT2_RAND_212"	-11.6	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_214"	-15.2	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_215"	-35.39	-24	1000	0	0	0	0
"S_enterica_LT2_RAND_216"	-31.4	-56	1000	0	1	0	1
"S_enterica_LT2_RAND_217"	-50	19	376	0	1	0	1
"S_enterica_LT2_RAND_218"	-24.4	-95	758	0	1	0	1
"S_enterica_LT2_RAND_219"	-6.1	-35	1000	0	0	0	0
"S_enterica_LT2_RAND_220"	-10.9	-20	1000	0	1	0	1
"S_enterica_LT2_RAND_221"	-20.7	-99	1000	0	1	0	1
"S_enterica_LT2_RAND_224"	-100.2	250	1000	0	0	0	0
"S_enterica_LT2_RAND_226"	-57.45	-39	1000	0	0	0	0
"S_enterica_LT2_RAND_227"	-92.17	130	1000	0	1	0	1
"S_enterica_LT2_RAND_228"	-36.7	-97	240	0	1	0	1
"S_enterica_LT2_RAND_229"	-6.6	76	967	0	1	108	1
"S_enterica_LT2_RAND_232"	-25.8	6	1000	0	0	0	0
"S_enterica_LT2_RAND_233"	-1.7	-52	339	0	1	0	1
"S_enterica_LT2_RAND_234"	0	-9	622	0	1	0	1
"S_enterica_LT2_RAND_235"	-52.4	-47	0	0	0	0	1
"S_enterica_LT2_RAND_236"	-39.4	152	1000	0	0	0	0
"S_enterica_LT2_RAND_237"	-5.8	-5	614	0	1	0	1
"S_enterica_LT2_RAND_238"	-0.78	44	290	0	0	0	0
"S_enterica_LT2_RAND_239"	-49	-46	1000	0	0	0	0
"S_enterica_LT2_RAND_240"	-26.4	-42	521	0	1	0	1
"S_enterica_LT2_RAND_241"	-37.9	42	1000	0	0	0	0
"S_enterica_LT2_RAND_242"	-40.1	72	1000	0	0	0	1
"S_enterica_LT2_RAND_243"	-111.3	131	0	0	1	0	0
"S_enterica_LT2_RAND_244"	-125.52	614	460	0	1	987	0
"S_enterica_LT2_RAND_245"	-34.6	-81	1000	-200	0	1196	1
"S_enterica_LT2_RAND_246"	-63.9	-90	0	-960	1	282	0
"S_enterica_LT2_RAND_247"	-0.6	-25	1000	0	0	0	0
"S_enterica_LT2_RAND_248"	-99.87	286	988	0	1	0	1
"S_enterica_LT2_RAND_250"	-16.9	-22	1000	0	0	0	0
"S_enterica_LT2_RAND_251"	-14.2	-50	1000	0	0	0	0
"S_enterica_LT2_RAND_252"	-59.7	-96	1000	0	0	0	0
"S_enterica_LT2_RAND_253"	-274.04	926	1000	0	0	0	0
"S_enterica_LT2_RAND_254"	-54.8	-96	1000	0	0	0	0
"S_enterica_LT2_RAND_255"	-27	-60	174	0	1	0	1
"S_enterica_LT2_RAND_256"	-5.6	31	30	0	1	0	1
"S_enterica_LT2_RAND_257"	-47.8	38	902	-64	1	0	1
"S_enterica_LT2_RAND_258"	-5.9	-55	1000	0	0	0	0
"S_enterica_LT2_RAND_259"	-75	471	1000	0	1	0	1
"S_enterica_LT2_RAND_260"	-60.3	168	1000	0	0	19	0
"S_enterica_LT2_RAND_261"	-78	155	1000	0	1	0	1
"S_enterica_LT2_RAND_262"	-27.7	-103	1000	0	0	0	0
"S_enterica_LT2_RAND_264"	-48.59	106	1000	0	1	0	1
"S_enterica_LT2_RAND_265"	-12.6	-15	1000	0	1	0	1
"S_enterica_LT2_RAND_266"	-15.2	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_267"	-43.5	136	1000	0	0	0	0
"S_enterica_LT2_RAND_268"	-33	-56	1000	0	0	0	0
"S_enterica_LT2_RAND_270"	-45.7	-58	1000	0	1	0	1
"S_enterica_LT2_RAND_271"	-45.1	-23	1000	0	0	111	0
"S_enterica_LT2_RAND_272"	-18.1	27	1000	0	0	0	0
"S_enterica_LT2_RAND_273"	-10.5	-22	1000	-77	0	0	0
"S_enterica_LT2_RAND_274"	-98.4	-81	1000	0	1	0	0
"S_enterica_LT2_RAND_275"	-12	21	1000	0	1	0	1
"S_enterica_LT2_RAND_276"	-69.4	62	1000	0	1	0	1
"S_enterica_LT2_RAND_278"	-21.4	6	1000	0	1	0	1
"S_enterica_LT2_RAND_279"	-35.9	-18	1000	0	0	0	0
"S_enterica_LT2_RAND_280"	-81.4	186	55	0	1	0	1
"S_enterica_LT2_RAND_281"	-5.6	2	1000	0	0	0	0
"S_enterica_LT2_RAND_282"	-38.6	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_285"	-23.8	-83	1000	0	0	0	0
"S_enterica_LT2_RAND_286"	-11.87	-29	1000	0	0	0	0
"S_enterica_LT2_RAND_287"	-15.4	80	1000	0	1	0	1
"S_enterica_LT2_RAND_288"	-110.05	602	1000	0	1	0	1
"S_enterica_LT2_RAND_290"	-19.8	25	1000	0	1	0	1
"S_enterica_LT2_RAND_291"	-19.2	-76	1000	0	1	0	1
"S_enterica_LT2_RAND_292"	-2.4	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_293"	-10.8	-95	1000	0	1	0	1
"S_enterica_LT2_RAND_294"	-124.9	150	1000	0	0	0	0
"S_enterica_LT2_RAND_295"	-27.74	-76	325	0	1	0	1
"S_enterica_LT2_RAND_296"	-54.3	133	0	0	1	0	0
"S_enterica_LT2_RAND_297"	-40.1	91	1000	0	1	0	1
"S_enterica_LT2_RAND_298"	-42.5	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_299"	-15.8	78	1000	-368	1	0	1
"S_enterica_LT2_RAND_300"	-6.07	39	361	-416	0	0	0
"S_enterica_LT2_RAND_301"	-46.2	9	976	-10	0	27	1
"S_enterica_LT2_RAND_302"	-33.2	39	0	0	1	6	0
"S_enterica_LT2_RAND_303"	-29	27	0	-4	1	0	0
"S_enterica_LT2_RAND_304"	-25.38	100	1000	-59	0	30	1
"S_enterica_LT2_RAND_305"	-148.3	383	432	0	1	0	0
"S_enterica_LT2_RAND_306"	-14.8	75	1000	0	1	0	1
"S_enterica_LT2_RAND_307"	-45.8	63	1000	0	0	0	0
"S_enterica_LT2_RAND_308"	-9.8	-10	1000	-4	0	295	0
"S_enterica_LT2_RAND_309"	-34.6	-1000	1000	-68	1	0	1
"S_enterica_LT2_RAND_310"	-9.34	101	1000	-11	0	124	0
"S_enterica_LT2_RAND_311"	-85.5	204	1000	0	1	0	0
"S_enterica_LT2_RAND_312"	-94.4	-53	1000	0	1	0	1
"S_enterica_LT2_RAND_313"	-18.2	24	1000	0	0	0	0
"S_enterica_LT2_RAND_314"	-37	-40	1000	0	1	0	1
"S_enterica_LT2_RAND_315"	-49.6	-48	1000	0	1	0	1
"S_enterica_LT2_RAND_316"	-32.3	-86	1000	0	1	0	1
"S_enterica_LT2_RAND_317"	-18.72	-54	1000	0	1	442	1
"S_enterica_LT2_RAND_318"	-4.7	69	1000	0	1	0	0
"S_enterica_LT2_RAND_319"	-119	181	1000	0	0	0	0
"S_enterica_LT2_RAND_320"	-34	-74	1000	0	1	0	1
"S_enterica_LT2_RAND_321"	-18.6	-74	1000	0	1	0	1
"S_enterica_LT2_RAND_322"	-40	-27	294	0	1	0	1
"S_enterica_LT2_RAND_323"	-21.25	15	1000	0	0	0	0
"S_enterica_LT2_RAND_324"	-32.6	-96	1000	0	1	0	1
"S_enterica_LT2_RAND_325"	-40.4	-69	1000	0	0	0	0
"S_enterica_LT2_RAND_328"	-14.5	-55	1000	0	0	0	0
"S_enterica_LT2_RAND_329"	-48.4	107	0	0	1	0	1
"S_enterica_LT2_RAND_330"	-22.2	74	1000	0	1	0	1
"S_enterica_LT2_RAND_331"	-15.3	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_333"	-50.7	-45	1000	0	1	0	1
"S_enterica_LT2_RAND_334"	-101.15	278	1000	0	0	0	1
"S_enterica_LT2_RAND_335"	-225.4	54	288	0	1	0	1
"S_enterica_LT2_RAND_336"	-20.9	0	1000	0	0	0	0
"S_enterica_LT2_RAND_337"	-36.87	-42	0	-302	1	0	0
"S_enterica_LT2_RAND_338"	-26.5	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_339"	-17.4	63	1000	0	0	0	0
"S_enterica_LT2_RAND_340"	-63.5	-100	0	-127	0	0	0
"S_enterica_LT2_RAND_341"	-19	67	1000	0	0	0	0
"S_enterica_LT2_RAND_342"	-39.5	116	1000	0	0	0	0
"S_enterica_LT2_RAND_343"	-30.6	-48	1000	0	0	0	0
"S_enterica_LT2_RAND_344"	-25	-55	1000	0	0	0	0
"S_enterica_LT2_RAND_345"	-30.7	55	1000	0	0	0	0
"S_enterica_LT2_RAND_346"	-23.7	-82	1000	0	1	0	1
"S_enterica_LT2_RAND_347"	-29.6	-17	1000	0	0	0	0
"S_enterica_LT2_RAND_348"	-21.1	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_349"	-17.57	45	1000	0	1	0	1
"S_enterica_LT2_RAND_350"	-11.7	-76	1000	-180	0	0	1
"S_enterica_LT2_RAND_351"	-21.5	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_352"	-36	-26	1000	0	0	0	0
"S_enterica_LT2_RAND_353"	-8.9	30	1000	0	0	0	0
"S_enterica_LT2_RAND_354"	-109.8	145	1000	0	1	0	1
"S_enterica_LT2_RAND_355"	-36.2	-75	1000	0	1	159	1
"S_enterica_LT2_RAND_357"	-13.4	20	1000	0	1	0	1
"S_enterica_LT2_RAND_358"	-41.5	-37	1000	0	1	0	1
"S_enterica_LT2_RAND_359"	-9.29	-88	1000	0	1	0	1
"S_enterica_LT2_RAND_360"	-22.6	-1000	1000	0	1	0	1
"S_enterica_LT2_RAND_361"	-28.9	-42	886	0	1	0	1
"S_enterica_LT2_RAND_362"	-2	-57	993	0	0	0	0
"S_enterica_LT2_RAND_364"	-41.6	47	1000	0	1	0	1
"S_enterica_LT2_RAND_365"	-27.4	24	1000	0	0	0	0
"S_enterica_LT2_RAND_366"	-21.4	15	1000	0	0	0	0
"S_enterica_LT2_RAND_367"	-161.2	109	1000	0	0	0	0
"S_enterica_LT2_RAND_368"	-22.2	-10	994	0	1	0	1
"S_enterica_LT2_RAND_369"	-61.1	-7	345	0	1	0	1
"S_enterica_LT2_RAND_370"	-15.1	-82	54	0	0	103	0
"S_enterica_LT2_RAND_371"	-110.5	132	748	0	1	0	1
"S_enterica_LT2_RAND_372"	-0.8	-26	1000	0	0	0	0
"S_enterica_LT2_RAND_373"	-14.7	75	1000	0	0	0	1
"S_enterica_LT2_RAND_374"	-9.4	31	1000	0	1	0	1
"S_enterica_LT2_RAND_375"	-82.3	-54	1000	0	1	0	1
"S_enterica_LT2_RAND_376"	-30.6	-28	1000	0	1	0	1
"S_enterica_LT2_RAND_377"	-25.1	169	1000	0	1	0	0
"S_enterica_LT2_RAND_378"	-36.3	157	1000	0	0	0	0
"S_enterica_LT2_RAND_379"	-48.9	-66	1000	0	0	0	0
"S_enterica_LT2_RAND_380"	-4.1	21	155	0	0	0	0
"S_enterica_LT2_RAND_381"	-21.6	-25	1000	0	0	0	0
"S_enterica_LT2_RAND_382"	-35.58	106	490	0	0	0	0
"S_enterica_LT2_RAND_383"	-32.22	45	1000	0	0	0	0
"S_enterica_LT2_RAND_384"	-49.3	13	1000	0	0	0	0
"S_enterica_LT2_RAND_385"	-4.7	-67	748	0	0	0	0
"S_enterica_LT2_RAND_386"	-62	86	465	0	1	0	1
"S_enterica_LT2_RAND_387"	-12.4	-82	1000	0	0	0	0
"S_enterica_LT2_RAND_388"	-7.98	-78	1000	0	0	0	0
"S_enterica_LT2_RAND_389"	-83.08	148	629	0	1	0	1
"S_enterica_LT2_RAND_390"	-69.9	224	274	0	1	0	1
"S_enterica_LT2_RAND_391"	-46.7	-44	135	-8	1	1012	0
"S_enterica_LT2_RAND_392"	-2.3	-7	6	-334	0	806	1
"S_enterica_LT2_RAND_395"	-47.42	70	1000	0	1	0	1
"S_enterica_LT2_RAND_396"	-65.8	-82	1000	0	0	0	0
"S_enterica_LT2_RAND_397"	-41.8	-103	1000	0	0	100	1
"S_enterica_LT2_RAND_398"	-18.5	-51	1000	-56	0	38	0
"S_enterica_LT2_RAND_399"	-30.2	-1000	846	0	1	0	1
"S_enterica_LT2_RAND_401"	-70.6	193	65	0	1	0	1
"S_enterica_LT2_RAND_402"	-60	4	487	0	1	0	1
"S_enterica_LT2_RAND_403"	-36.5	-109	787	-306	0	0	1
"S_enterica_LT2_RAND_405"	-38.2	27	0	0	1	445	1
"S_enterica_LT2_RAND_406"	-50	-87	1000	0	1	0	1
"S_enterica_LT2_RAND_407"	-33.6	100	1000	0	0	176	1
"S_enterica_LT2_RAND_408"	-34.3	18	1000	0	1	0	1
"S_enterica_LT2_RAND_409"	-32	-54	1000	0	0	0	0
"S_enterica_LT2_RAND_410"	-4.9	-51	195	0	0	0	0
"S_enterica_LT2_RAND_411"	-17.1	-23	550	0	0	0	0
"S_enterica_LT2_RAND_412"	-34.9	40	1000	0	0	0	0
"S_enterica_LT2_RAND_414"	-71.3	-86	1000	0	1	0	1
"S_enterica_LT2_RAND_415"	-67.1	-49	842	0	1	470	0
"S_enterica_LT2_RAND_416"	-13.9	71	383	-139	0	0	1
"S_enterica_LT2_RAND_417"	-40.4	-69	260	0	0	0	0
"S_enterica_LT2_RAND_418"	-12.7	-1000	1000	0	0	0	0
"S_enterica_LT2_RAND_419"	-57.9	-63	1000	0	1	0	1
"S_enterica_LT2_RAND_420"	-42.6	-56	1000	0	1	0	1
"S_enterica_LT2_RAND_422"	-10.34	23	1000	0	0	0	0
"S_enterica_LT2_RAND_423"	-41.04	280	90	0	0	193	0
"S_enterica_LT2_RAND_424"	1.1	-35	517	0	0	0	0
"S_enterica_LT2_RAND_426"	-29.1	-40	1000	-233	1	0	1
"S_enterica_LT2_RAND_427"	-26	-64	1000	0	1	0	1
"S_enterica_LT2_RAND_428"	-32.6	-8	101	0	1	271	1
"S_enterica_LT2_RAND_429"	-139.01	142	288	0	0	0	0
"S_enterica_LT2_RAND_430"	-7.68	-104	588	0	0	0	0
"S_enterica_LT2_RAND_431"	-12.7	57	552	0	0	0	0
"S_enterica_LT2_RAND_432"	-12.9	0	852	0	1	0	1
"S_enterica_LT2_RAND_433"	-14	0	880	0	1	0	1
"S_enterica_LT2_RAND_434"	-75.4	-41	882	-288	0	0	1
"S_enterica_LT2_RAND_435"	-14.6	57	521	0	1	0	1
"S_enterica_LT2_RAND_436"	-10.1	-100	894	-218	1	988	1
"S_enterica_LT2_RAND_437"	-23.7	-89	1000	0	0	0	0
"S_enterica_LT2_RAND_438"	-28.9	120	1000	0	0	0	1
"S_enterica_LT2_RAND_440"	-21	-27	1000	0	0	0	0
"S_enterica_LT2_RAND_441"	-68.7	-29	1000	0	0	0	0
"S_enterica_LT2_RAND_442"	-83.3	112	1000	0	0	0	0
"S_enterica_LT2_RAND_443"	-149.2	26	1000	0	0	0	0
"S_enterica_LT2_RAND_444"	-7.4	44	1000	0	1	0	1
"S_enterica_LT2_RAND_445"	-334.1	801	1000	0	1	0	1
"S_enterica_LT2_RAND_446"	-69.19	295	1000	0	0	0	0
